transaction_hash,block_number,builder_reward,ethusd_price,from_address,to_address
0x55d5d33e87e1fad4751c8bcc7d61c8fa5800df78d830503b40a46dfd522853f2,19364008,0.6443326070180521,,0x8ef57238cd4178eed96cd30a13cbc7448925328e,0x00000023c10000eecb940000b914cdfd76cc83d1
0xc85669dce3ef97ec15edfdccd327c34fc98c11b3549eae2f63fb923282a4ca63,19380607,0.5594228156605026,3798.11517801468,0x8ef57238cd4178eed96cd30a13cbc7448925328e,0x00000023c10000eecb940000b914cdfd76cc83d1
0x1ac9b337aa77924698ff78cdaae4d9c8fa42742cc27949514e7a001768d2b41a,19498988,0.4135539973033312,3408.72957927476,0x8ef57238cd4178eed96cd30a13cbc7448925328e,0x00000023c10000eecb940000b914cdfd76cc83d1
0xb7a1194feb964254a2a8975318a704cc934c2cd9589d3f312b15183737f8ee20,19478153,0.3766657175968107,3384.41495222281,0x8ef57238cd4178eed96cd30a13cbc7448925328e,0x00000023c10000eecb940000b914cdfd76cc83d1
0x2c7f63b88ff5db4f36136418f0cb083c9cba33ca115ed83391dcb20ef2dfacd8,19530153,0.3680166539193218,3502.73304075307,0x8ef57238cd4178eed96cd30a13cbc7448925328e,0x00000023c10000eecb940000b914cdfd76cc83d1
0x409973b99db6738857e5e38198f5a162a0ca0f530a2c757675e2a392d791c84e,19515248,0.3288061633795222,3606.8420430495,0x8ef57238cd4178eed96cd30a13cbc7448925328e,0x00000023c10000eecb940000b914cdfd76cc83d1
0xfb57ff55419071922c0d9cb2b782ec5e25e5c0cd45823dc4947e58682db7edb9,19496810,0.3261704665359861,3356.36064441908,0x8ef57238cd4178eed96cd30a13cbc7448925328e,0x00000023c10000eecb940000b914cdfd76cc83d1
0xb4b71660333d10d557c70655c97ecc6cc0ad279fbf17ba62132d367aee012c6a,19462096,0.295679439784904,3539.74912743468,0x8ef57238cd4178eed96cd30a13cbc7448925328e,0x00000023c10000eecb940000b914cdfd76cc83d1
0x6843f3c3b35b747f3f6167dc437f7e5ac949c144aef3ef329b981c26598bf423,19531463,0.2908577998932505,3575.31804392058,0x8ef57238cd4178eed96cd30a13cbc7448925328e,0x00000023c10000eecb940000b914cdfd76cc83d1
0xaf0d8a9991d6c3aaef8728cd2c3ddfa75aa7c9cb60676791d967d63bd934a4f8,19535808,0.2499252832870959,,0x8ef57238cd4178eed96cd30a13cbc7448925328e,0x00000023c10000eecb940000b914cdfd76cc83d1
0x2806bfd137987bbf83209facaced5536f6045803d96f25fe9389288f9ef395e8,19502893,0.2411537507227928,3325.60483351776,0x8ef57238cd4178eed96cd30a13cbc7448925328e,0x00000023c10000eecb940000b914cdfd76cc83d1
0xa786da509c3360f18699850f854e61c38156e5bf37ba03b66eb1fa16d566e875,19366273,0.2362521726971408,3651.48775190076,0x8ef57238cd4178eed96cd30a13cbc7448925328e,0x00000023c10000eecb940000b914cdfd76cc83d1
0xb42952c5ce1fb3fd96647085b57fce591961cefc08620daef5066959c17a66ed,19545242,0.2239186977533719,3504.39131147668,0x8ef57238cd4178eed96cd30a13cbc7448925328e,0x00000023c10000eecb940000b914cdfd76cc83d1
0xec7cda6b5707fb85a4b0a0b48e11914c62de5cab8e10f8d470b17b79403dd90d,19550046,0.2231305148236808,3503.20427735896,0x8ef57238cd4178eed96cd30a13cbc7448925328e,0x00000023c10000eecb940000b914cdfd76cc83d1
0xafa9f239454f7891d24729761cda7bb014a7a56beb3c16ec003d8873891a6dcc,19452633,0.2178485657076317,3546.88601859786,0x8ef57238cd4178eed96cd30a13cbc7448925328e,0x00000023c10000eecb940000b914cdfd76cc83d1
0x94145d63ff7019ccafa542b955e04e10202ef18f0f027f3fa112db77c79c0e79,19403717,0.2115329696246408,3955.37242949227,0x8ef57238cd4178eed96cd30a13cbc7448925328e,0x00000023c10000eecb940000b914cdfd76cc83d1
0xe40eb9e04e2dab80756e59585eda22c0177e443956abda6736137d5205555ac9,19448272,0.2098919353610029,3653.77412120706,0x8ef57238cd4178eed96cd30a13cbc7448925328e,0x00000023c10000eecb940000b914cdfd76cc83d1
0xd2aab17914fca7c83133ec66d21f5a0a1677ed44292265085adfba9c1f3f032a,19385010,0.2023218931471743,3850.35094429561,0x8ef57238cd4178eed96cd30a13cbc7448925328e,0x00000023c10000eecb940000b914cdfd76cc83d1
0xc61875f1af1735e1e38724271acda3dd215b7d5151357a2a505c7ef8fe451200,19413061,0.1977362321744706,4035.94572698909,0x8ef57238cd4178eed96cd30a13cbc7448925328e,0x00000023c10000eecb940000b914cdfd76cc83d1
